original_index,img_link,budget_value,revenue_value,lang
5914,https://media.themoviedb.org/t/p/w300_and_h450_face/nflh9On0de4l7ItCl3n4NVXjmnm.jpg,60000000.0,88900000.0,English
4073,https://media.themoviedb.org/t/p/w300_and_h450_face/1qGyTDp4K4J2RjGtT5hR81ilX9r.jpg,60000000.0,56359980.0,English
4072,https://media.themoviedb.org/t/p/w300_and_h450_face/85tuJxQdjQcec3DTMc9dxwlYYfi.jpg,,,English
16819,https://media.themoviedb.org/t/p/w300_and_h450_face/mepMDzGmh0Fmzq0CuWsNXZTBm6m.jpg,,,English
5915,https://media.themoviedb.org/t/p/w300_and_h450_face/8k6Qk2LiC3H1WWHxZXoXOVq89cS.jpg,,50097949.0,English
16818,https://media.themoviedb.org/t/p/w300_and_h450_face/qWZwKkrPNoSa7LIvUTwClmFUjBn.jpg,,853862.0,English
26734,https://media.themoviedb.org/t/p/w300_and_h450_face/qAcNXFeNffjTy5uE0ii3AVK51ua.jpg,,,Swedish
16820,https://media.themoviedb.org/t/p/w300_and_h450_face/277qsg4voGrMgSSlbYxtFVVusBf.jpg,,,Portuguese
5917,https://media.themoviedb.org/t/p/w300_and_h450_face/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,3300000.0,30641770.0,Portuguese
26735,https://media.themoviedb.org/t/p/w300_and_h450_face/aKkedi2YEDp1XTk53B2HLcvVh3v.jpg,,,Swedish
4074,https://media.themoviedb.org/t/p/w300_and_h450_face/hS1jjzTe4P8GMWGnvca7HIndPEX.jpg,22000000.0,19900366.0,English
16821,https://media.themoviedb.org/t/p/w300_and_h450_face/9WdCLe9vMgWic184e19JOFXm4Od.jpg,,,English
26736,https://media.themoviedb.org/t/p/w300_and_h450_face/pqEN8dGcIAZUStRCJvdfePZa9bj.jpg,,,Swedish
5918,https://media.themoviedb.org/t/p/w300_and_h450_face/aGNSL9b1GZBYWKfITVQQkmKoq76.jpg,,,English
16822,https://media.themoviedb.org/t/p/w300_and_h450_face/7yemDtWalM9x2AD6dYSQSND6W8h.jpg,,35456.0,English
5919,https://media.themoviedb.org/t/p/w300_and_h450_face/wr26nFLM7AeV2Zy31hiwvtvmMsD.jpg,,,Danish
4076,https://media.themoviedb.org/t/p/w300_and_h450_face/xFwPMSIdUytMeq7l2pauuMDahyk.jpg,,,English
26738,https://media.themoviedb.org/t/p/w300_and_h450_face/xAqlfXN8LmSbox7DnWmZeqb9kVy.jpg,,,Swedish
